date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 07:49:15.383695000 EST,192.168.4.137,192.168.4.140,58343,7070,0,0x0014
Mar  8, 2024 07:49:15.383974000 EST,192.168.4.137,192.168.4.140,58343,1688,0,0x0014
Mar  8, 2024 07:49:15.384270000 EST,192.168.4.137,192.168.4.140,58343,458,0,0x0014
Mar  8, 2024 07:49:15.384455000 EST,192.168.4.140,192.168.4.137,14441,58343,1024,0x0002
Mar  8, 2024 07:49:15.384573000 EST,192.168.4.140,192.168.4.137,13456,58343,1024,0x0002
Mar  8, 2024 07:49:15.384642000 EST,192.168.4.140,192.168.4.137,20222,58343,1024,0x0002
Mar  8, 2024 07:49:15.384734000 EST,192.168.4.140,192.168.4.137,513,58343,1024,0x0002
Mar  8, 2024 07:49:15.384800000 EST,192.168.4.140,192.168.4.137,32771,58343,1024,0x0002
Mar  8, 2024 07:49:15.384890000 EST,192.168.4.140,192.168.4.137,8010,58343,1024,0x0002
Mar  8, 2024 07:49:15.384956000 EST,192.168.4.140,192.168.4.137,15004,58343,1024,0x0002
Mar  8, 2024 07:49:15.385048000 EST,192.168.4.140,192.168.4.137,2105,58343,1024,0x0002
Mar  8, 2024 07:49:15.385155000 EST,192.168.4.140,192.168.4.137,5903,58343,1024,0x0002
Mar  8, 2024 07:49:15.385289000 EST,192.168.4.140,192.168.4.137,6106,58343,1024,0x0002
Mar  8, 2024 07:49:15.385410000 EST,192.168.4.140,192.168.4.137,5922,58343,1024,0x0002
